Assigned Name,Round number,Effort,Random Draw,Performance,Effort2,Random Draw2,Performance2,Participated1,Participated2,Win1,Win2,Round Payoff,Selected round,Selected Payment,Converted Payment,Beta,Non-Exc,Group id,Group members,Decision Time,Session Code,Action Log,Mini Test,Timeout or not?
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,1,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,1,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,2,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,2,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,3,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,3,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,4,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,4,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,5,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,5,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,6,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,6,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,7,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,7,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,8,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,8,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,9,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,9,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,10,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,10,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,11,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,11,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,12,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,12,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,13,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,13,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,14,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,14,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,15,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,15,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,16,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,16,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,17,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,17,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,18,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,18,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,19,,0.0,20/07/2021 07:05:30,,-,--
Participant 2,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,19,,0.0,20/07/2021 07:05:30,,-,--
Participant 1,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,20,,0.0,20/07/2021 07:05:30,,-,--
