Assigned Name,Code,Round number,Effort,Random Draw,Performance,Effort2,Random Draw2,Performance2,Participated1,Participated2,Win1,Win2,Round Payoff,Selected round,Selected Payment,Converted Payment,Beta,Non-Exc,Group id,Group members,Decision Time,Session Code,Action Log,Mini Test,Timeout or not?
Participant 1,wf9pmq29,Trial: 1,0.0,0.0,0.0,,,,0,-,-,-,10.0,1,0.0,0.0,36.8,Exc,85,1/2--No,0.0,22/07/2021 08:58:32,,,
Participant 2,x8uj1p5k,Trial: 1,0.0,0.0,0.0,,,,0,-,-,-,10.0,1,0.0,0.0,36.8,Exc,85,2/1--No,0.0,22/07/2021 08:58:32,,,
Participant 1,wf9pmq29,Round: 1,0.0,0.0,0.0,,,,0,-,-,-,10.0,1,10.0,5.5,36.8,Exc,86,1/2--No,0.0,22/07/2021 08:58:32,,-,
Participant 2,x8uj1p5k,Round: 1,0.0,0.0,0.0,,,,0,-,-,-,10.0,1,10.0,5.5,36.8,Exc,86,2/1--No,0.0,22/07/2021 08:58:32,,-,
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,63,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,63,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,64,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,64,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,65,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,65,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,66,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,66,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,67,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,67,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,68,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,68,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,69,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,69,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,70,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,70,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,71,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,71,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,72,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,72,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,73,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,73,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,74,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,74,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,75,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,75,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,76,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,76,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,77,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,77,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,78,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,78,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,79,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,79,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,80,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,80,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,81,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,81,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,82,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,82,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,83,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,83,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,wf9pmq29,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,84,,0.0,22/07/2021 08:58:32,,-,--
Participant 2,x8uj1p5k,-,0.0,0.0,0.0,,,,-,-,-,-,0.0,1,0.0,0.0,36.8,Exc,84,,0.0,22/07/2021 08:58:32,,-,--
Participant 1,o38xfnoi,Trial: 1,5.7,-25.06,9.75,4.3,11.86,41.03,1,1,0,1,30.0,11,0.0,0.0,36.8,Non Exc,115,1/7-6-22--No-Yes,34.0,22/07/2021 12:28:09,S1:6=T6-S2:4=T13-M1:5.9=T20-M1:5.8=T20-M1:5.7=T21-P2:4.1=T24-P2:4.2=T24-P2:4.3=T25--,-,--
